,class,IOU,mIOU
0,sky,0.7855105776188652,0.8928012460624789
1,buildings,0.9071313785313366,0.8928012460624789
2,tree,0.9174345076784102,0.8928012460624789
3,hair,0.9177134068187645,0.8928012460624789
4,skin,0.856642139226109,0.8928012460624789
5,phone,0.8926481990554733,0.8928012460624789
6,clothes,0.972528513508393,0.8928012460624789
